RELATÓRIO DIÁRIO DE FREQUÊNCIA
Data: 2025-04-04
Gerado em: 04/04/2025 19:42:45

RESUMO GERAL
Total de check-ins,400
Alunos únicos,100
Check-ins completos (entrada e saída),400
Duração média (minutos),1.5

DISTRIBUIÇÃO POR HORA
Hora,Total de check-ins
00:00,0
01:00,0
02:00,0
03:00,0
04:00,0
05:00,0
06:00,0
07:00,0
08:00,0
09:00,0
10:00,0
11:00,0
12:00,0
13:00,0
14:00,100
15:00,0
16:00,0
17:00,100
18:00,0
19:00,200
20:00,0
21:00,0
22:00,0
23:00,0

DISTRIBUIÇÃO POR PLANO
Plano,Total de check-ins
Básico,156
Premium,164
VIP,80

LISTA DE ALUNOS PRESENTES
ID,Nome,Entrada,Saída,Duração (min)
639,Manuela Campos,14:07:45,14:08:23,
640,Alice Andrade,14:07:45,14:08:23,
641,Ana Souza,14:07:45,14:08:23,
642,Camila Correia,14:07:45,14:08:23,
643,Pedro Mendes,14:07:45,14:08:23,
644,Leonardo Freitas,14:07:45,14:08:23,
645,Leonardo Bezerra,14:07:45,14:08:23,
646,Rodrigo Gomes,14:07:45,14:08:23,
647,Rodrigo Carvalho,14:07:45,14:08:23,
648,Daniel Lima,14:07:45,14:08:23,
649,Júlia Moreira,14:07:45,14:08:23,
650,Paulo Castro,14:07:45,14:08:23,
651,Laura Souza,14:07:45,14:08:23,
652,Yasmin Araújo,14:07:45,14:08:23,
553,Marcelo Pereira,17:55:48,17:56:07,
554,Larissa Araújo,17:55:48,17:56:07,
555,Yasmin Almeida,17:55:48,17:56:07,
556,Carlos Santos,17:55:48,17:56:07,
557,Manuela Nunes,17:55:48,17:56:07,
558,Lucas Nunes,17:55:48,17:56:07,
559,Henrique Oliveira,17:55:48,17:56:07,
560,Leandro Rodrigues,17:55:48,17:56:07,
561,Valentina Souza,17:55:48,17:56:07,
562,Felipe Cardoso,17:55:48,17:56:07,
563,Diego Monteiro,17:55:48,17:56:07,
564,Vitor Vieira,17:55:48,17:56:07,
565,Felipe Campos,17:55:48,17:56:07,
566,Lucas Carvalho,17:55:48,17:56:07,
567,Paulo Silva,17:55:48,17:56:07,
568,Mariana Bezerra,17:55:48,17:56:07,
569,Diego Costa,17:55:48,17:56:07,
570,Lucas Barros,17:55:48,17:56:07,
571,Laura Rodrigues,17:55:48,17:56:07,
572,Henrique Campos,17:55:48,17:56:07,
573,Alice Rodrigues,17:55:48,17:56:07,
574,Rodrigo Alves,17:55:48,17:56:07,
575,Bruno Moreira,17:55:48,17:56:07,
576,Bruno Rodrigues,17:55:48,17:56:07,
577,Felipe Castro,17:55:48,17:56:07,
578,João Barbosa,17:55:48,17:56:07,
579,Eduardo Ferreira,17:55:48,17:56:07,
580,Bruno Silva,17:55:48,17:56:07,
581,Beatriz Cardoso,17:55:48,17:56:07,
582,Yasmin Nascimento,17:55:48,17:56:07,
583,Eduardo Barbosa,17:55:48,17:56:07,
584,Larissa Dias,17:55:48,17:56:07,
585,Eduarda Mendes,17:55:48,17:56:07,
586,Sophia Santos,17:55:48,17:56:07,
587,Henrique Oliveira,17:55:48,17:56:07,
588,Gabriela Lima,17:55:48,17:56:07,
589,Diego Dias,17:55:48,17:56:07,
590,Guilherme Nunes,17:55:48,17:56:07,
591,Rodrigo Barros,17:55:48,17:56:07,
592,Alice Pereira,17:55:48,17:56:07,
593,Miguel Fernandes,17:55:48,17:56:07,
594,Natália Barros,17:55:48,17:56:07,
595,Gustavo Moreira,17:55:48,17:56:07,
596,Clara Castro,17:55:48,17:56:07,
597,Sophia Souza,17:55:48,17:56:07,
598,Clara Ferreira,17:55:48,17:56:07,
599,Vitor Nascimento,17:55:48,17:56:07,
600,Lucas Santos,17:55:48,17:56:07,
601,Eduardo Rocha,17:55:48,17:56:07,
602,Leonardo Souza,17:55:48,17:56:07,
603,André Costa,17:55:48,17:56:07,
604,Bruno Nascimento,17:55:48,17:56:07,
605,Valentina Martins,17:55:48,17:56:07,
606,Isabella Carvalho,17:55:48,17:56:07,
607,Gustavo Vieira,17:55:48,17:56:07,
608,Rafael Costa,17:55:48,17:56:07,
609,Júlia Campos,17:55:48,17:56:07,
610,Ana Mendes,17:55:48,17:56:07,
611,Larissa Andrade,17:55:48,17:56:07,
612,Camila Silva,17:55:48,17:56:07,
613,Carlos Oliveira,17:55:48,17:56:07,
614,Amanda Almeida,17:55:48,17:56:07,
615,Amanda Moreira,17:55:48,17:56:07,
616,Camila Oliveira,17:55:48,17:56:07,
617,Guilherme Bezerra,17:55:48,17:56:07,
618,Felipe Araújo,17:55:48,17:56:07,
619,Isabella Teixeira,17:55:48,17:56:07,
620,Paulo Monteiro,17:55:48,17:56:07,
621,Vitor Souza,17:55:48,17:56:07,
622,Larissa Santos,17:55:48,17:56:07,
623,Vitor Rocha,17:55:48,17:56:07,
624,Carlos Carvalho,17:55:48,17:56:07,
625,Clara Pereira,17:55:48,17:56:07,
626,Vitor Moreira,17:55:48,17:56:07,
627,Eduardo Martins,17:55:48,17:56:07,
628,Maria Araújo,17:55:48,17:56:07,
629,Guilherme Souza,17:55:48,17:56:07,
630,Alice Alves,17:55:48,17:56:07,
631,Beatriz Monteiro,17:55:48,17:56:07,
632,Lucas Martins,17:55:48,17:56:07,
633,Sophia Dias,17:55:48,17:56:07,
634,Rafael Rodrigues,17:55:48,17:56:07,
635,Eduarda Costa,17:55:48,17:56:07,
636,Gabriela Nunes,17:55:48,17:56:07,
637,Yasmin Souza,17:55:48,17:56:07,
638,Rafael Ribeiro,17:55:48,17:56:07,
639,Manuela Campos,17:55:48,17:56:07,
640,Alice Andrade,17:55:48,17:56:07,
641,Ana Souza,17:55:48,17:56:07,
642,Camila Correia,17:55:48,17:56:07,
643,Pedro Mendes,17:55:48,17:56:07,
644,Leonardo Freitas,17:55:48,17:56:07,
645,Leonardo Bezerra,17:55:48,17:56:07,
646,Rodrigo Gomes,17:55:48,17:56:07,
647,Rodrigo Carvalho,17:55:48,17:56:07,
648,Daniel Lima,17:55:48,17:56:07,
649,Júlia Moreira,17:55:48,17:56:07,
650,Paulo Castro,17:55:48,17:56:07,
651,Laura Souza,17:55:48,17:56:07,
652,Yasmin Araújo,17:55:48,17:56:07,
553,Marcelo Pereira,19:11:22,19:18:12,6
554,Larissa Araújo,19:11:22,19:18:12,6
555,Yasmin Almeida,19:11:22,19:18:12,6
556,Carlos Santos,19:11:22,19:18:12,6
557,Manuela Nunes,19:11:22,19:18:12,6
558,Lucas Nunes,19:11:22,19:18:12,6
559,Henrique Oliveira,19:11:22,19:18:12,6
560,Leandro Rodrigues,19:11:22,19:18:12,6
561,Valentina Souza,19:11:22,19:18:12,6
562,Felipe Cardoso,19:11:22,19:18:12,6
563,Diego Monteiro,19:11:22,19:18:12,6
564,Vitor Vieira,19:11:22,19:18:12,6
565,Felipe Campos,19:11:22,19:18:12,6
566,Lucas Carvalho,19:11:22,19:18:12,6
567,Paulo Silva,19:11:22,19:18:12,6
568,Mariana Bezerra,19:11:22,19:18:12,6
569,Diego Costa,19:11:22,19:18:12,6
570,Lucas Barros,19:11:22,19:18:12,6
571,Laura Rodrigues,19:11:22,19:18:12,6
572,Henrique Campos,19:11:22,19:18:12,6
573,Alice Rodrigues,19:11:22,19:18:12,6
574,Rodrigo Alves,19:11:22,19:18:12,6
575,Bruno Moreira,19:11:22,19:18:12,6
576,Bruno Rodrigues,19:11:22,19:18:12,6
577,Felipe Castro,19:11:22,19:18:12,6
578,João Barbosa,19:11:22,19:18:12,6
579,Eduardo Ferreira,19:11:22,19:18:12,6
580,Bruno Silva,19:11:22,19:18:12,6
581,Beatriz Cardoso,19:11:22,19:18:12,6
582,Yasmin Nascimento,19:11:22,19:18:12,6
583,Eduardo Barbosa,19:11:22,19:18:12,6
584,Larissa Dias,19:11:22,19:18:12,6
585,Eduarda Mendes,19:11:22,19:18:12,6
586,Sophia Santos,19:11:22,19:18:12,6
587,Henrique Oliveira,19:11:22,19:18:12,6
588,Gabriela Lima,19:11:22,19:18:12,6
589,Diego Dias,19:11:22,19:18:12,6
590,Guilherme Nunes,19:11:22,19:18:12,6
591,Rodrigo Barros,19:11:22,19:18:12,6
592,Alice Pereira,19:11:22,19:18:12,6
593,Miguel Fernandes,19:11:22,19:18:12,6
594,Natália Barros,19:11:22,19:18:12,6
595,Gustavo Moreira,19:11:22,19:18:12,6
596,Clara Castro,19:11:22,19:18:12,6
597,Sophia Souza,19:11:22,19:18:12,6
598,Clara Ferreira,19:11:22,19:18:12,6
599,Vitor Nascimento,19:11:22,19:18:12,6
600,Lucas Santos,19:11:22,19:18:12,6
601,Eduardo Rocha,19:11:22,19:18:12,6
602,Leonardo Souza,19:11:22,19:18:12,6
603,André Costa,19:11:22,19:18:12,6
604,Bruno Nascimento,19:11:22,19:18:12,6
605,Valentina Martins,19:11:22,19:18:12,6
606,Isabella Carvalho,19:11:22,19:18:12,6
607,Gustavo Vieira,19:11:22,19:18:12,6
608,Rafael Costa,19:11:22,19:18:12,6
609,Júlia Campos,19:11:22,19:18:12,6
610,Ana Mendes,19:11:22,19:18:12,6
611,Larissa Andrade,19:11:22,19:18:12,6
612,Camila Silva,19:11:22,19:18:12,6
613,Carlos Oliveira,19:11:22,19:18:12,6
614,Amanda Almeida,19:11:22,19:18:12,6
615,Amanda Moreira,19:11:22,19:18:12,6
616,Camila Oliveira,19:11:22,19:18:12,6
617,Guilherme Bezerra,19:11:22,19:18:12,6
618,Felipe Araújo,19:11:22,19:18:12,6
619,Isabella Teixeira,19:11:22,19:18:12,6
620,Paulo Monteiro,19:11:22,19:18:12,6
621,Vitor Souza,19:11:22,19:18:12,6
622,Larissa Santos,19:11:22,19:18:12,6
623,Vitor Rocha,19:11:22,19:18:12,6
624,Carlos Carvalho,19:11:22,19:18:12,6
625,Clara Pereira,19:11:22,19:18:12,6
626,Vitor Moreira,19:11:22,19:18:12,6
627,Eduardo Martins,19:11:22,19:18:12,6
628,Maria Araújo,19:11:22,19:18:12,6
629,Guilherme Souza,19:11:22,19:18:12,6
630,Alice Alves,19:11:22,19:18:12,6
631,Beatriz Monteiro,19:11:22,19:18:12,6
632,Lucas Martins,19:11:22,19:18:12,6
633,Sophia Dias,19:11:22,19:18:12,6
634,Rafael Rodrigues,19:11:22,19:18:12,6
635,Eduarda Costa,19:11:22,19:18:12,6
636,Gabriela Nunes,19:11:22,19:18:12,6
637,Yasmin Souza,19:11:22,19:18:12,6
638,Rafael Ribeiro,19:11:22,19:18:12,6
639,Manuela Campos,19:11:22,19:18:12,6
640,Alice Andrade,19:11:22,19:18:12,6
641,Ana Souza,19:11:22,19:18:12,6
642,Camila Correia,19:11:22,19:18:12,6
643,Pedro Mendes,19:11:22,19:18:12,6
644,Leonardo Freitas,19:11:22,19:18:12,6
645,Leonardo Bezerra,19:11:22,19:18:12,6
646,Rodrigo Gomes,19:11:22,19:18:12,6
647,Rodrigo Carvalho,19:11:22,19:18:12,6
648,Daniel Lima,19:11:22,19:18:12,6
649,Júlia Moreira,19:11:22,19:18:12,6
650,Paulo Castro,19:11:22,19:18:12,6
651,Laura Souza,19:11:22,19:18:12,6
652,Yasmin Araújo,19:11:22,19:18:12,6
599,Vitor Nascimento,19:33:58,19:34:27,
600,Lucas Santos,19:33:58,19:34:27,
601,Eduardo Rocha,19:33:58,19:34:27,
602,Leonardo Souza,19:33:58,19:34:27,
603,André Costa,19:33:58,19:34:27,
604,Bruno Nascimento,19:33:58,19:34:27,
605,Valentina Martins,19:33:58,19:34:27,
606,Isabella Carvalho,19:33:58,19:34:27,
607,Gustavo Vieira,19:33:58,19:34:27,
608,Rafael Costa,19:33:58,19:34:27,
609,Júlia Campos,19:33:58,19:34:27,
610,Ana Mendes,19:33:58,19:34:27,
611,Larissa Andrade,19:33:58,19:34:27,
612,Camila Silva,19:33:58,19:34:27,
613,Carlos Oliveira,19:33:58,19:34:27,
614,Amanda Almeida,19:33:58,19:34:27,
615,Amanda Moreira,19:33:58,19:34:27,
616,Camila Oliveira,19:33:58,19:34:27,
617,Guilherme Bezerra,19:33:58,19:34:27,
618,Felipe Araújo,19:33:58,19:34:27,
619,Isabella Teixeira,19:33:58,19:34:27,
620,Paulo Monteiro,19:33:58,19:34:27,
621,Vitor Souza,19:33:58,19:34:27,
622,Larissa Santos,19:33:58,19:34:27,
623,Vitor Rocha,19:33:58,19:34:27,
624,Carlos Carvalho,19:33:58,19:34:27,
625,Clara Pereira,19:33:58,19:34:27,
626,Vitor Moreira,19:33:58,19:34:27,
627,Eduardo Martins,19:33:58,19:34:27,
628,Maria Araújo,19:33:58,19:34:27,
629,Guilherme Souza,19:33:58,19:34:27,
630,Alice Alves,19:33:58,19:34:27,
631,Beatriz Monteiro,19:33:58,19:34:27,
632,Lucas Martins,19:33:58,19:34:27,
633,Sophia Dias,19:33:58,19:34:27,
634,Rafael Rodrigues,19:33:58,19:34:27,
635,Eduarda Costa,19:33:58,19:34:27,
636,Gabriela Nunes,19:33:58,19:34:27,
637,Yasmin Souza,19:33:58,19:34:27,
638,Rafael Ribeiro,19:33:58,19:34:27,
639,Manuela Campos,19:33:58,19:34:27,
640,Alice Andrade,19:33:58,19:34:27,
641,Ana Souza,19:33:58,19:34:27,
642,Camila Correia,19:33:58,19:34:27,
643,Pedro Mendes,19:33:58,19:34:27,
644,Leonardo Freitas,19:33:58,19:34:27,
645,Leonardo Bezerra,19:33:58,19:34:27,
646,Rodrigo Gomes,19:33:58,19:34:27,
647,Rodrigo Carvalho,19:33:58,19:34:27,
648,Daniel Lima,19:33:58,19:34:27,
649,Júlia Moreira,19:33:58,19:34:27,
650,Paulo Castro,19:33:58,19:34:27,
651,Laura Souza,19:33:58,19:34:27,
652,Yasmin Araújo,19:33:58,19:34:27,
553,Marcelo Pereira,19:33:58,19:34:27,
554,Larissa Araújo,19:33:58,19:34:27,
555,Yasmin Almeida,19:33:58,19:34:27,
556,Carlos Santos,19:33:58,19:34:27,
557,Manuela Nunes,19:33:58,19:34:27,
558,Lucas Nunes,19:33:58,19:34:27,
559,Henrique Oliveira,19:33:58,19:34:27,
560,Leandro Rodrigues,19:33:58,19:34:27,
561,Valentina Souza,19:33:58,19:34:27,
562,Felipe Cardoso,19:33:58,19:34:27,
563,Diego Monteiro,19:33:58,19:34:27,
564,Vitor Vieira,19:33:58,19:34:27,
565,Felipe Campos,19:33:58,19:34:27,
566,Lucas Carvalho,19:33:58,19:34:27,
567,Paulo Silva,19:33:58,19:34:27,
568,Mariana Bezerra,19:33:58,19:34:27,
569,Diego Costa,19:33:58,19:34:27,
570,Lucas Barros,19:33:58,19:34:27,
571,Laura Rodrigues,19:33:58,19:34:27,
572,Henrique Campos,19:33:58,19:34:27,
573,Alice Rodrigues,19:33:58,19:34:27,
574,Rodrigo Alves,19:33:58,19:34:27,
575,Bruno Moreira,19:33:58,19:34:27,
576,Bruno Rodrigues,19:33:58,19:34:27,
577,Felipe Castro,19:33:58,19:34:27,
578,João Barbosa,19:33:58,19:34:27,
579,Eduardo Ferreira,19:33:58,19:34:27,
580,Bruno Silva,19:33:58,19:34:27,
581,Beatriz Cardoso,19:33:58,19:34:27,
582,Yasmin Nascimento,19:33:58,19:34:27,
583,Eduardo Barbosa,19:33:58,19:34:27,
584,Larissa Dias,19:33:58,19:34:27,
585,Eduarda Mendes,19:33:58,19:34:27,
586,Sophia Santos,19:33:58,19:34:27,
587,Henrique Oliveira,19:33:58,19:34:27,
588,Gabriela Lima,19:33:58,19:34:27,
589,Diego Dias,19:33:58,19:34:27,
590,Guilherme Nunes,19:33:58,19:34:27,
591,Rodrigo Barros,19:33:58,19:34:27,
592,Alice Pereira,19:33:58,19:34:27,
593,Miguel Fernandes,19:33:58,19:34:27,
594,Natália Barros,19:33:58,19:34:27,
595,Gustavo Moreira,19:33:58,19:34:27,
596,Clara Castro,19:33:58,19:34:27,
597,Sophia Souza,19:33:58,19:34:27,
598,Clara Ferreira,19:33:58,19:34:27,
