matricula,nome,data_nascimento,genero,email,plano_id,data_matricula,matricula_ativa,data_cancelamento
82,Kenneth Spears,1996-08-22,Feminino,jennifer08@example.net,2,2024-01-13,False,2024-02-10
83,Raymond Smith,1980-01-01,Outro,kelly59@example.org,1,2024-02-20,True,
84,Andrew Potter,2002-08-26,Masculino,peter12@example.org,2,2023-06-17,False,2023-08-11
85,David Munoz,1994-05-04,Masculino,toddhernandez@example.org,1,2024-06-22,True,
86,Elizabeth Werner,1989-09-30,Masculino,sanchezjohn@example.org,3,2023-08-09,False,2023-12-23
87,Luke Richards,2006-03-14,Masculino,bill34@example.com,2,2025-02-03,True,
88,Caitlin Mcdonald,1990-05-07,Feminino,waltermoore@example.net,2,2024-08-21,True,
89,Brian Carter,1990-04-23,Masculino,cummingstiffany@example.net,2,2023-10-06,True,
90,Timothy Dennis,1989-12-11,Masculino,padillanathan@example.org,3,2024-12-25,True,
91,Dana Erickson,1965-10-21,Masculino,fwise@example.org,1,2023-07-14,True,
92,Ashley Stewart,2003-07-06,Feminino,danielle91@example.net,2,2025-03-25,False,2025-03-26
93,Lisa Taylor,2003-07-12,Masculino,nduncan@example.com,2,2023-06-07,True,
94,Amber Fowler,1972-03-05,Masculino,jeannepierce@example.org,2,2024-01-17,True,
95,George Hale,1969-01-21,Feminino,grayholly@example.com,2,2025-01-29,False,2025-03-12
96,Dr. Veronica Clark,1974-06-02,Feminino,frose@example.com,2,2024-02-11,False,2025-02-26
97,Jennifer Morales,1988-10-11,Masculino,ashleerodriguez@example.com,1,2023-10-22,False,2024-01-07
98,Nicholas Rogers,1966-06-25,Masculino,jamieramsey@example.com,1,2023-04-03,True,
99,Timothy Diaz,1968-06-02,Outro,stephaniemorales@example.net,2,2024-10-14,True,
100,Anthony Fields,1985-12-15,Masculino,jacksongabriela@example.org,3,2024-04-21,False,2024-12-22
101,Michael Parker,1977-06-26,Outro,tatekatie@example.com,3,2024-05-28,True,
102,Corey Peck,1988-03-20,Masculino,chaseelizabeth@example.org,3,2023-09-12,True,
103,Lori Campbell,1987-08-05,Masculino,chad70@example.org,1,2024-01-06,True,
104,Amy Conrad,1990-05-18,Outro,jbarber@example.net,1,2024-11-28,False,2024-12-14
105,Sharon Miller,1985-04-29,Masculino,zwatkins@example.net,3,2023-08-27,True,
106,Brenda Spears,1999-12-27,Outro,csmith@example.net,3,2024-06-18,True,
107,Travis Thompson,2005-02-02,Outro,laurenhorton@example.org,1,2023-07-01,False,2024-06-27
108,Harold Myers,1987-03-07,Outro,christinahuber@example.net,3,2024-05-04,False,2024-09-25
109,David Patel,1986-12-22,Feminino,ipennington@example.net,1,2024-11-17,False,2024-12-08
110,Debbie Castro,2002-04-10,Masculino,krojas@example.net,2,2025-02-24,False,2025-02-25
111,Michele Wilson,1967-06-17,Masculino,tyler65@example.org,3,2023-04-24,False,2023-09-26
112,Justin Murphy,1998-06-18,Feminino,qjohnson@example.com,2,2023-11-16,True,
113,Karen Griffith,1993-03-08,Masculino,sierramoore@example.com,2,2024-04-10,True,
114,Elizabeth White,1971-11-01,Masculino,kylebraun@example.net,3,2024-04-15,True,
115,Mario Davies,1969-05-25,Outro,jesusparker@example.com,2,2024-02-27,True,
116,Taylor Stevenson,1968-09-10,Feminino,wwatson@example.net,1,2024-12-15,True,
117,Nicole Cooper,1981-03-25,Feminino,jennifergolden@example.net,2,2025-01-13,True,
118,Cody Davis,1973-02-03,Feminino,lancewang@example.net,3,2023-05-25,False,2024-11-27
119,Emily Reed,1972-02-21,Outro,connielopez@example.org,3,2023-04-21,True,
120,Shirley Young,1998-10-20,Outro,valdezshelia@example.net,3,2023-04-28,False,2024-12-10
121,Joanne Smith,1980-06-20,Outro,diamond34@example.org,1,2024-02-11,True,
122,Kathleen Bass,1977-08-28,Feminino,uhart@example.org,1,2024-08-17,True,
123,Jared Banks,1987-11-12,Outro,jeffrey93@example.org,3,2024-10-27,True,
124,Julia Key,1998-02-06,Feminino,kathryn79@example.net,2,2024-06-24,True,
125,Christine Mosley,2001-07-02,Outro,nancyjordan@example.com,2,2025-03-08,True,
126,Emily Rivera,1972-09-09,Outro,lkim@example.org,3,2024-11-05,False,2024-12-16
127,Shelly Roberts,1991-02-23,Outro,russelljames@example.org,2,2023-10-23,False,2024-04-03
128,Charles Yang,2006-09-29,Masculino,julie79@example.com,1,2025-01-14,False,2025-03-01
129,Autumn Gardner,1994-05-21,Feminino,lauren40@example.com,1,2024-05-26,True,
130,Kara Chavez,1990-09-24,Feminino,john40@example.com,1,2023-12-10,False,2024-08-10
131,Daniel Clark,2001-09-16,Masculino,evang@example.org,3,2024-07-18,False,2024-11-11
132,Scott Johnson,1987-09-01,Outro,anne20@example.com,3,2023-04-17,False,2023-10-04
133,Amanda Cisneros,1986-10-13,Outro,paula97@example.org,1,2023-08-12,True,
134,Elizabeth Thomas,1982-07-29,Masculino,michelleford@example.net,3,2023-07-25,True,
135,Luke Hall,1972-02-17,Outro,kellyguy@example.net,1,2025-02-13,False,2025-02-20
136,Emily Bullock,1993-10-13,Outro,gutierrezgina@example.com,3,2023-10-22,True,
137,Kevin Saunders,2001-04-22,Feminino,bsims@example.com,1,2024-11-19,True,
138,Patrick Smith,1999-06-08,Feminino,vwilson@example.org,2,2024-01-26,True,
139,Scott Black Jr.,1987-03-01,Feminino,phillipspeter@example.com,1,2024-10-30,True,
140,Antonio Barker,1994-02-22,Outro,gwilliamson@example.net,1,2025-02-11,False,2025-02-17
141,Roy Clayton,1998-11-06,Outro,scott43@example.com,2,2024-02-09,True,
142,Joseph Chapman,1964-04-15,Masculino,icarr@example.net,1,2024-12-13,True,
143,Andrea Spencer,2000-09-24,Feminino,mitchelljennifer@example.net,1,2025-01-05,True,
144,Raymond Glover,1968-08-13,Outro,karawood@example.org,2,2024-06-13,False,2025-02-05
145,Sarah Martinez MD,2002-02-09,Outro,kellystacey@example.org,3,2023-06-10,True,
146,Peter Thompson,1978-11-30,Feminino,djohnson@example.net,1,2024-05-15,True,
147,Justin Anderson,2004-12-14,Feminino,lindseyhaney@example.org,1,2023-05-13,False,2025-02-27
148,Michelle Miller,1980-04-28,Masculino,laurie05@example.net,1,2024-12-08,False,2025-03-03
149,Jillian Davis,1969-08-21,Feminino,dianeking@example.com,2,2023-06-29,True,
150,Dennis Martinez,1980-09-16,Masculino,christinarivers@example.com,1,2025-02-08,True,
151,Pamela Hendrix,2001-04-22,Feminino,jonathancrawford@example.net,2,2024-06-03,False,2024-06-12
152,Annette Bradley,1997-04-05,Masculino,tiffany23@example.com,2,2023-11-05,False,2024-04-14
153,Louis Ewing,1999-10-03,Outro,murphychristina@example.net,3,2025-03-09,False,2025-03-29
154,Trevor Hawkins,1993-12-03,Outro,tonirussell@example.com,3,2025-02-02,False,2025-03-03
155,Emily Watkins,1969-02-20,Masculino,michaelreeves@example.com,1,2024-01-05,False,2024-01-25
156,Troy Henry,1986-02-13,Masculino,oliviamiles@example.com,3,2024-10-09,False,2024-11-16
157,Madison Davidson,1989-06-28,Masculino,tgreen@example.net,1,2023-08-02,False,2024-03-16
158,Brent Dunn,1967-11-20,Feminino,longjeremy@example.com,3,2024-11-07,False,2025-02-25
159,Sandra Mason,1999-11-05,Feminino,wrodriguez@example.org,3,2025-01-13,True,
160,Jason Parker,2001-02-21,Feminino,cory73@example.net,3,2023-06-19,True,
161,Joshua Ashley,1968-07-29,Feminino,stevendougherty@example.net,1,2023-04-17,False,2023-11-30
162,Tonya May,1989-04-12,Masculino,hnorris@example.org,3,2024-11-12,True,
163,Charlotte Soto,1990-01-15,Feminino,brandonhunter@example.net,2,2024-03-07,True,
164,Amy Higgins,1992-12-24,Outro,uortega@example.org,2,2024-10-04,False,2025-03-08
165,Patricia Smith,1966-12-20,Outro,tuckeramy@example.org,1,2024-07-09,False,2025-02-07
166,Sherry Foster,1968-04-14,Outro,daniel60@example.org,2,2024-01-16,False,2025-02-19
167,Dave Pruitt,1972-10-05,Feminino,lbeck@example.org,2,2024-07-04,False,2024-09-11
168,Erica Jenkins,1983-09-27,Outro,onicholson@example.net,1,2023-09-24,True,
169,Helen Mitchell,1994-12-02,Feminino,qmcgee@example.org,3,2025-01-29,False,2025-03-21
170,Jamie Williams,1995-11-21,Outro,christopher58@example.org,3,2024-02-23,True,
171,Patrick Green,2004-06-02,Outro,steveunderwood@example.net,3,2024-09-23,False,2025-02-14
172,Kenneth Logan,1989-06-19,Feminino,cheyennerivera@example.net,3,2024-01-31,True,
173,Dominique Oneill,1982-10-13,Feminino,brittany81@example.org,2,2024-07-19,True,
174,Mark Ray,1967-04-15,Feminino,david88@example.org,3,2024-05-12,False,2024-05-12
175,Donald Clark,1965-10-13,Feminino,steeleallison@example.net,2,2024-01-17,False,2024-09-03
176,Jason Waters,2000-11-09,Outro,phillip65@example.org,1,2023-08-23,False,2024-09-02
177,Timothy Potter,1977-11-16,Outro,antonioroberts@example.org,1,2024-09-10,True,
178,Olivia Morales,1999-12-18,Feminino,melissarobinson@example.net,3,2023-05-17,False,2023-10-04
179,Christopher Martinez,1981-12-07,Masculino,thomasbenjamin@example.org,1,2024-03-30,False,2025-03-02
180,Troy Moreno,1976-05-14,Masculino,amanda89@example.com,1,2024-12-17,True,
181,Douglas Walsh,1989-05-14,Masculino,irichardson@example.net,1,2023-05-14,True,
182,Michael Clark,1971-05-01,Feminino,jhansen@example.com,3,2023-07-31,True,
183,Andrew Bailey,1995-10-12,Feminino,millercindy@example.net,2,2025-01-24,True,
184,Richard Alexander,1986-01-28,Outro,sanchezchristopher@example.net,3,2023-05-13,False,2023-11-08
185,Faith Collins,1984-03-14,Feminino,kharvey@example.org,2,2024-01-08,True,
186,Sarah Galloway,1970-02-16,Masculino,greenlauren@example.org,3,2024-12-03,True,
187,Peter Barnett,1978-11-19,Masculino,cabreraemily@example.org,2,2024-10-30,True,
188,David May,1997-04-28,Masculino,vpearson@example.org,3,2024-05-20,False,2024-12-13
189,Nicolas Lee,2005-07-14,Masculino,annacook@example.net,3,2024-06-25,True,
190,Matthew Mata,1969-06-17,Masculino,callen@example.net,2,2024-09-09,True,
191,Joyce Kane,1989-05-27,Feminino,denisefloyd@example.org,3,2023-12-22,False,2025-02-26
192,Sabrina Carrillo,1989-05-01,Feminino,lee44@example.org,3,2024-11-07,False,2025-02-14
193,Danny Bowman,1988-04-08,Outro,oconnorbrian@example.org,2,2024-06-17,True,
194,Anna Young,1982-06-03,Outro,xmendez@example.com,2,2023-04-25,False,2024-08-26
195,Jeffrey Kim,1991-05-04,Feminino,fuenteskristen@example.net,1,2024-01-18,False,2025-02-14
196,Michael Lewis,1989-04-29,Outro,kfrye@example.com,2,2023-10-02,True,
197,Vicki Lynn,1993-11-07,Feminino,ghernandez@example.net,2,2023-12-25,True,
198,Robert Howell,1967-12-07,Outro,sjones@example.com,2,2024-05-20,True,
199,Rebecca Herrera,1981-11-17,Feminino,brettburgess@example.org,2,2024-06-16,False,2024-11-14
200,Amy White,1969-07-29,Outro,juliepitts@example.org,1,2024-04-05,True,
201,Carolyn Holt,1994-11-13,Masculino,tphillips@example.com,1,2023-04-07,False,2024-06-28
202,Mrs. Ana Baker,1990-12-03,Outro,william11@example.com,1,2023-07-06,True,
203,Alexander Contreras,1995-02-12,Masculino,andrewsolomon@example.com,2,2024-08-29,False,2025-02-03
204,Tony Gray,1988-09-16,Feminino,richardsmith@example.com,3,2024-04-06,False,2024-10-07
205,Mckenzie Robertson,1988-07-31,Feminino,melissaenglish@example.net,1,2025-02-01,True,
206,Vicki Brown,1999-03-25,Feminino,ortiztyler@example.com,2,2024-06-12,True,
207,Maria Villegas,1992-10-27,Outro,robertjohnson@example.com,2,2024-04-12,False,2024-05-04
208,Adam Holmes,1969-01-14,Masculino,scottbrett@example.com,2,2025-03-03,False,2025-03-20
209,Katherine Moreno,1979-10-26,Feminino,aball@example.org,2,2023-12-13,True,
210,Angela Gill,2004-12-19,Feminino,barneslori@example.net,1,2024-09-23,False,2024-11-17
211,Andrea Martin,1982-05-02,Feminino,emma26@example.org,2,2024-01-27,True,
212,Megan Davis,2004-06-24,Feminino,bradley71@example.net,2,2025-02-23,False,2025-03-05
213,Cynthia Morgan,1964-10-10,Outro,sharon57@example.net,1,2024-06-27,False,2024-11-05
214,Brittney Perez,1993-12-02,Masculino,dmartin@example.com,3,2023-07-13,True,
215,Brian Johnson,2000-11-14,Feminino,ellisjulie@example.com,3,2023-08-17,True,
216,Cory Miller,1985-09-04,Masculino,michaelross@example.org,3,2024-05-11,False,2025-03-29
217,Anne Harris,1973-01-22,Masculino,tamivaughn@example.org,2,2023-07-24,True,
218,Angela Holt,1972-09-29,Masculino,zachary70@example.net,2,2023-09-09,False,2025-01-20
219,Todd Brandt,1998-08-13,Feminino,jmiller@example.com,1,2023-06-16,False,2023-09-07
220,Vickie Castillo,1977-07-12,Feminino,armstrongkevin@example.org,2,2024-10-15,False,2025-03-28
221,Michele Baldwin DVM,1979-01-20,Feminino,donaldcox@example.com,2,2023-10-22,False,2024-03-01
222,David Bell,2003-08-03,Masculino,gravesmargaret@example.org,2,2024-08-06,True,
223,Ashley Colon,1969-11-14,Outro,vwood@example.net,3,2024-03-05,True,
224,Sharon Kirby,1977-06-12,Feminino,whiteheadshawn@example.net,1,2024-09-04,True,
225,Vickie Woodward,1989-11-21,Outro,russellanthony@example.org,1,2024-05-22,True,
226,Scott Smith,1995-01-26,Masculino,lisa22@example.net,1,2024-07-31,True,
227,Trevor Walton,1995-12-04,Outro,terrimullen@example.net,1,2024-05-11,True,
228,Doris Arias,1980-10-21,Masculino,tgillespie@example.net,2,2023-08-05,True,
229,Jamie Rich,1965-05-27,Outro,stevencooper@example.net,1,2024-05-31,False,2024-06-05
230,Sara Cruz,1998-10-07,Outro,philip27@example.org,2,2024-11-08,False,2025-02-02
231,Shannon Bush,1998-09-02,Masculino,tara66@example.org,3,2025-02-08,True,
232,Christine Jenkins DDS,1992-06-01,Masculino,gary01@example.net,2,2024-11-04,True,
233,Richard Chen,1966-05-30,Outro,shawn40@example.com,1,2024-08-27,False,2024-08-30
234,Marco Shelton,1985-02-15,Outro,spencerjoseph@example.org,3,2023-04-24,False,2024-01-07
235,Megan Jones,1971-05-26,Feminino,benjamin93@example.org,3,2024-09-27,True,
236,Yolanda Zamora,1967-10-28,Masculino,sheltonjeffrey@example.org,3,2024-07-10,True,
237,Jennifer Wagner,1983-02-01,Masculino,cheryl65@example.com,3,2025-01-25,False,2025-01-25
238,Cathy Herrera,1993-03-12,Outro,kevin34@example.org,3,2023-11-05,True,
239,Jonathan Gomez,1973-04-01,Outro,dmyers@example.com,1,2024-03-19,False,2024-06-22
240,Robert Lynch,1979-02-27,Outro,garzabridget@example.org,2,2025-03-11,False,2025-03-16
241,Brittney Bryant,2004-05-14,Masculino,paulsmall@example.org,3,2025-02-06,False,2025-03-24
242,Nathan Escobar,1969-12-28,Masculino,moorechloe@example.org,2,2024-12-05,False,2025-01-17
243,Hannah Elliott,1987-03-04,Masculino,traceysimon@example.org,2,2024-08-10,False,2025-03-13
244,Joanna Ochoa,1981-10-03,Outro,laurie20@example.net,2,2023-06-20,True,
245,Lori Ray,1999-09-20,Feminino,sydneyhardy@example.net,1,2023-06-14,False,2023-09-05
246,Stephanie Scott,1979-07-22,Outro,larsondennis@example.com,3,2023-07-08,False,2024-09-03
247,Michael Sullivan,1966-08-22,Feminino,tguerrero@example.org,2,2023-09-05,False,2024-12-01
248,Dylan Green,1983-05-12,Feminino,james32@example.org,1,2023-06-07,True,
249,Troy Davis,1974-05-06,Feminino,smithsamuel@example.com,2,2024-11-28,True,
250,Michael Martin,1996-01-20,Feminino,nicolemcmahon@example.net,3,2024-07-17,False,2024-08-26
251,Amy Kennedy,1968-01-01,Feminino,adam66@example.org,1,2023-10-14,False,2025-02-25
252,Matthew Cooper,2004-04-19,Feminino,benjaminpowers@example.com,1,2024-03-12,False,2024-03-29
253,Tammy Harrington,2003-08-25,Masculino,james71@example.org,2,2023-06-29,False,2024-06-14
254,James Garcia,1965-11-21,Feminino,cmoon@example.com,2,2023-04-05,False,2024-05-24
255,Mr. Lawrence Lucas,1993-11-15,Outro,cookjames@example.org,1,2023-07-24,True,
256,Courtney Cruz,2003-09-27,Masculino,zcameron@example.com,1,2025-03-18,False,2025-03-26
257,Mary Johnson,2004-10-09,Feminino,larrybishop@example.net,3,2024-05-14,True,
258,Shawn Brown,1995-08-06,Outro,geraldsutton@example.com,2,2024-03-31,False,2025-02-01
259,Denise Jarvis,2003-04-15,Feminino,johnsonkaren@example.com,1,2023-12-24,True,
260,Jason Blake,1981-09-13,Feminino,huynhtyler@example.net,1,2023-11-25,False,2024-03-30
261,Kevin Sanchez,1977-10-15,Outro,shellyramirez@example.com,1,2025-03-29,False,2025-03-30
262,Peter Paul,1995-03-25,Outro,peggy45@example.org,3,2024-01-09,False,2024-11-27
263,Lisa Alvarez,1977-05-21,Feminino,houstonkathleen@example.net,3,2024-09-11,False,2024-11-02
264,Steven Bell,2006-11-03,Feminino,johnmann@example.org,3,2023-10-20,False,2024-04-19
265,Leslie Shepherd,2005-02-18,Feminino,parkerjason@example.net,3,2023-08-12,False,2024-04-28
266,Joshua Wilkinson,1981-03-24,Feminino,james51@example.org,2,2024-08-29,False,2025-02-22
267,Bradley Fischer,1982-09-04,Masculino,jennifer34@example.com,1,2024-04-27,True,
268,Derrick Jenkins,1968-09-17,Feminino,robert15@example.com,1,2024-05-12,True,
269,Katie Forbes,1967-03-06,Masculino,laura29@example.net,1,2024-04-18,False,2024-11-04
270,Jason Mann,1972-11-29,Feminino,juarezkimberly@example.net,3,2024-04-15,False,2025-03-26
271,Jessica Mcgee,2004-12-21,Masculino,iduarte@example.org,1,2025-02-05,False,2025-03-06
272,Lance Gross,1974-12-23,Masculino,william03@example.com,2,2023-09-28,True,
273,Tony Gray,1988-11-02,Feminino,scottduarte@example.net,1,2024-04-08,True,
274,Jennifer Duncan,1964-06-23,Feminino,wshort@example.com,1,2023-09-02,True,
275,Jennifer Andersen,1995-01-02,Outro,monica72@example.net,2,2024-03-02,True,
276,Denise Baker,1969-05-01,Outro,pryan@example.org,2,2023-10-12,True,
277,Tyler Farrell,1989-01-06,Masculino,bianca57@example.org,3,2024-03-14,False,2024-05-19
278,Daniel Hayes,1985-11-12,Feminino,egarcia@example.org,2,2024-03-05,False,2024-07-08
279,Christian Bernard,1985-01-10,Feminino,christopher72@example.net,1,2024-06-06,True,
280,Kaitlin Kim,1999-09-02,Feminino,rparker@example.com,2,2024-09-28,True,
281,George Potter,1999-11-09,Masculino,mcintoshmichelle@example.net,2,2023-08-12,False,2025-01-27
282,Antonio Valdez,2006-03-13,Masculino,vtran@example.org,3,2023-05-20,True,
283,Christina Black,1999-01-25,Masculino,garybecker@example.com,1,2024-09-18,False,2024-12-08
284,Michael Rodriguez,1968-12-01,Masculino,rpeters@example.com,1,2024-02-21,True,
285,Justin Hamilton,1988-05-25,Outro,tylerrichards@example.com,2,2024-09-12,True,
286,Leonard Zavala,1988-01-11,Outro,shannonstevens@example.org,2,2024-08-22,False,2025-01-01
287,Catherine Wells,1968-09-01,Feminino,tarabautista@example.org,2,2024-07-31,False,2024-10-22
288,Sonya Wright,1983-04-17,Feminino,zrichardson@example.org,3,2023-07-06,True,
289,James Padilla,1981-10-16,Outro,anne35@example.net,3,2024-02-04,True,
290,Elizabeth David,1980-03-03,Masculino,andrew57@example.com,3,2024-07-10,True,
291,Michelle Lutz,1988-04-04,Feminino,petersonmichael@example.net,3,2025-01-12,True,
292,Dylan Rodgers,1985-03-09,Masculino,derrickspencer@example.com,1,2024-08-08,True,
293,Warren Mosley,1998-04-08,Outro,russellrobert@example.net,1,2024-05-07,True,
294,Cory Taylor,2002-07-07,Masculino,ipetersen@example.org,2,2023-04-14,False,2023-08-21
295,Daniel Barrett,2003-09-09,Outro,lhinton@example.org,3,2024-07-26,False,2024-08-27
296,Tiffany Hansen,1980-01-14,Feminino,ftate@example.org,1,2024-10-20,True,
297,Brenda Ho,1976-04-05,Feminino,danielsjeffrey@example.com,3,2024-07-19,False,2024-12-15
298,Matthew Shields,1968-11-12,Outro,bpowers@example.net,2,2023-11-20,True,
